company_name,location,city,country,services,company_url,membership_years,membership_types,description,contact_available,scraped_at,source_page,source_url,email,all_emails,phone,all_phones,website,all_websites,address,all_addresses
Vantage Logistics Corporation,Ho Chi Minh City - Vietnam,Ho Chi Minh City,Vietnam,"['FCL', 'Air Freight', 'Customs Clearance', 'Express', 'Break Bulk']",https://www.jctrans.com/en/store/home/a47d7bc9893a27b2da6f88159672601a,22-Year,"['VIP Level 1', 'VIP Level 7', 'VIP Level 2', 'VIP Level 4']",ONE-STOP SHOP FOR INTEGRATED LOGISTICS SERVICES,True,2025-08-06T07:21:56.907858,1,"https://www.jctrans.com/en/membership/list/0-JC%20Elite,GCP?years=0&page=1",info@vlc.com.vn,['info@vlc.com.vn'],+84-28 382 67312,"['+84-28 382 67312', '+84-909-026-261', '21020202000645', '2022004632']",https://freight.vlc.com.vn/,"['https://freight.vlc.com.vn/', 'https://vantage-logistics.com.vn/']","688886
22-Year
Subscribe

ONE-STOP SHOP FOR INTEGRATED LOGISTICS SERVICES

JC Elite
12-Dec-2027 
JC Projects
19-Feb-2028 
JC Dangerous Goods
19-Feb-2028 
JC eCommerce
19-Feb-2028 
Chat Online
1-on-1 Inquiry
Service Scope
Company Profile
Attented History
Contact Us
Service Scope
Total Likes
28
····
Company Profile
Vantage Logistics Corp","['688886\n22-Year\nSubscribe\n\nONE-STOP SHOP FOR INTEGRATED LOGISTICS SERVICES\n\nJC Elite\n12-Dec-2027 \nJC Projects\n19-Feb-2028 \nJC Dangerous Goods\n19-Feb-2028 \nJC eCommerce\n19-Feb-2028 \nChat Online\n1-on-1 Inquiry\nService Scope\nCompany Profile\nAttented History\nContact Us\nService Scope\nTotal Likes\n28\n····\nCompany Profile\nVantage Logistics Corp', '23 years of expertise in international transportation and a fully integrated chain of comprehensive logistics services. We are dedicated to delivering optimal solutions that enhance efficiency and create added value for businesses.\nWith a robust network across the ASEAN region, Vantage Logistics serves as a vital bridge, connecting products from Vietnam and Southeast Asia to the global market. Guided by dedication, professionalism, and continuous innovation, we are committed to helping our clients achieve sustainable business success.\nWe have certificates: C-TPAT, IATA, ISO 9001:2015, FMC OTI-NVOCC Bond, Customs Agents License, and HSSE Compliance services we provide:\n\n+ Logistics Services to Customers/ Partners\n- International Freight (Sea + Air)\n- Customs Brokerage, Permit/ License/ Master List Application\n- Warehouse\n- Trucking\n- Project Logistics - Specialized Activity\n- Perishable Logistics\n- Global Sales Logistics\n- Parcel/ Courier Logistics\n- Break Bulk – Bulk Logistics\n- Dangerous Goods (Dg) Logistics\n- Oil & Gas Logistics\n- Offshore Services…\n\n+ Carrier Agency/ Partners (Break bulk vessel agency service; Tanker service)\n-\tOperation/ Exclusive/ General Sales Agency for International Carriers\n-\tOperation General Sales Agency for Domestic Carriers\n\n+ Operation/ Execution Agent for Logistics Infrastructures (Ports, ICD, Logistics Hub/ Depot, Warehouse)\n\n+ GSA Airlines :\n-\tTicket General Sales Agent, \n-\tSlot, Landing Permit, FAOC, Flight Schedule Application,\n-\tGround Handling, \n-\tServices for Private Jet_VVIP\n\n+ Trading/ Procurement services\n-\tBuying Agent – Sourcing South East Asia (S', '6.01, Block A, RiverGate 151-155 Ben Van Don Str, District 4, HCMC, Viet Nam\nEmail: info@vlc', '151-155 Ben Van Don Street, District 4, Ho Chi Minh city, Viet Nam.\n\nEstablishment Time\n\n2002\n\nEnterprise Size\n\n101-500\n\nWebsite\n\nhttps://vantage-logistics', '2-20240208\n\nPost Inquiry\n\nGo to cart']"
Apex International Inc,Tokyo - Japan,Tokyo,Japan,"['Air Freight', 'FCL', 'Hazardous Cargo', 'Customs Clearance', 'Japan-China Mainland']",https://www.jctrans.com/en/store/home/9dee72ef3ee05e4dfe5a81a1a8176f5d,18-Year,"['VIP Level 1', 'VIP Level 7']","On Time Performance, APEX Provides",True,2025-08-06T07:21:57.011651,1,"https://www.jctrans.com/en/membership/list/0-JC%20Elite,GCP?years=0&page=1",,,21020202000645,"['21020202000645', '2022004632']",https://www.apexintl.co.jp,['https://www.apexintl.co.jp'],"668888
18-Year
Subscribe

On Time Performance, APEX Provides

JC Elite
22-Oct-2034 
JC Projects
14-Feb-2026 
Chat Online
1-on-1 Inquiry
Service Scope
Company Profile
Attented History
Contact Us
Service Scope
Total Likes
21
····
Company Profile
We offers a total service of logistics and international transportation via air, ocean and ground from origin to destination across the globe, APEX, as a non-asset based logistics provider, we have relationship with the major air, ocean and ground carriers, to best support your ever-changing logistics needs, we customize the every possible mode of transportation to provide flexible and efficient solutions","['668888\n18-Year\nSubscribe\n\nOn Time Performance, APEX Provides\n\nJC Elite\n22-Oct-2034 \nJC Projects\n14-Feb-2026 \nChat Online\n1-on-1 Inquiry\nService Scope\nCompany Profile\nAttented History\nContact Us\nService Scope\nTotal Likes\n21\n····\nCompany Profile\nWe offers a total service of logistics and international transportation via air, ocean and ground from origin to destination across the globe, APEX, as a non-asset based logistics provider, we have relationship with the major air, ocean and ground carriers, to best support your ever-changing logistics needs, we customize the every possible mode of transportation to provide flexible and efficient solutions', '7Fl, Toyokuni Bldg, 2-4-6 Shiba-Daimon, Minato-Ku, Hamamatsucho, Tokyo,Japan.\n\nEstablishment Time\n\n2000\n\nEnterprise Size\n\n11-50\n\nWebsite\n\nwww.apexintl.co.jp\n\nCertificates\nApex International IncJapan , , , , , ,\nMembership\nMembership introduction\nBenefits Overview\nJC Elite\nJC Premium\nJC Rising\nJC Project\nJC Dangerous Goods\nJC Railway\nJC eCommerce\nJC Vendor\nClub\nBecome a Member\nBusiness Opportunity\nCompany Directory\nInquiry\nFind Agent\nCooperation Risk Protection\nRisk Member List\nOnline Claim\nRisk Prevention\nAssurance Introduction\nEvent\nGlobal Conference\nExhibiton\nIndustry Event\nJC Pay\nSettlement between members without any fees\nCollect money from your Chinese partner cheap and fast\nTools\nSchedule Plan\nContainer Tracking\nAMS Filing\nISF Filing\nACI(EM) Filing\nAFR Filing\nFMC Application\nJC Selection\nFreightsite Finder\nAbout Us\nAbout Us\nContact Us\nResources\nSuccess Story\nHelp Center\nCustomer\nMy Dashboard\nOpinion/Suggestion\nSign In\nSign up\n\n© 2025 jctrans', '2-20240208\n\nPost Inquiry\n\nGo to cart']"
MS GLOBAL FREIGHT SOLUTION SDN BHD,Kuala Lumpur - Malaysia,Kuala Lumpur,Malaysia,"['Air Freight', 'Special Container', 'Break Bulk', 'FCL', 'Reefer Container']",https://www.jctrans.com/en/store/home/aaca51f6e01d497c86e9430fa0cc34cb,16-Year,"['VIP Level 1', 'VIP Level 7']","IATA Airfreight agent , Oversized Heavy Project",True,2025-08-06T07:21:57.107391,1,"https://www.jctrans.com/en/membership/list/0-JC%20Elite,GCP?years=0&page=1",,,21020202000645,"['21020202000645', '2022004632']",https://www.msglobal.com.my,['https://www.msglobal.com.my'],"108295
16-Year
Subscribe

IATA Airfreight agent , Oversized Heavy Project

JC Elite
17-Dec-2029 
JC Projects
6-May-2029 
Chat Online
1-on-1 Inquiry
Service Scope
Company Profile
Attented History
Contact Us
Service Scope
Total Likes
12
····
Company Profile
MS Global Freight Solution Sdn Bhd is established in Malaysia by veteran logistics professionals to assist clients to expand business worldwide","['108295\n16-Year\nSubscribe\n\nIATA Airfreight agent , Oversized Heavy Project\n\nJC Elite\n17-Dec-2029 \nJC Projects\n6-May-2029 \nChat Online\n1-on-1 Inquiry\nService Scope\nCompany Profile\nAttented History\nContact Us\nService Scope\nTotal Likes\n12\n····\nCompany Profile\nMS Global Freight Solution Sdn Bhd is established in Malaysia by veteran logistics professionals to assist clients to expand business worldwide', '19, KELANA JAYA, PETALING JAYA, Kuala Lumpur, Malaysia\n\nEstablishment Time\n\n2013\n\nEnterprise Size\n\n11-50\n\nWebsite\n\nwww.msglobal.com.my\n\nCertificates\nMS GLOBAL FREIGHT SOLUTION SDN BHDMalaysia , , , ,\nMembership\nMembership introduction\nBenefits Overview\nJC Elite\nJC Premium\nJC Rising\nJC Project\nJC Dangerous Goods\nJC Railway\nJC eCommerce\nJC Vendor\nClub\nBecome a Member\nBusiness Opportunity\nCompany Directory\nInquiry\nFind Agent\nCooperation Risk Protection\nRisk Member List\nOnline Claim\nRisk Prevention\nAssurance Introduction\nEvent\nGlobal Conference\nExhibiton\nIndustry Event\nJC Pay\nSettlement between members without any fees\nCollect money from your Chinese partner cheap and fast\nTools\nSchedule Plan\nContainer Tracking\nAMS Filing\nISF Filing\nACI(EM) Filing\nAFR Filing\nFMC Application\nJC Selection\nFreightsite Finder\nAbout Us\nAbout Us\nContact Us\nResources\nSuccess Story\nHelp Center\nCustomer\nMy Dashboard\nOpinion/Suggestion\nSign In\nSign up\n\n© 2025 jctrans', '2-20240208\n\nPost Inquiry\n\nGo to cart']"
Conturk Shipping,Istanbul - Turkiye,Istanbul,Turkiye,"['FCL', 'Reefer Container', 'Customs Clearance']",https://www.jctrans.com/en/store/home/d739cf5aefec7390ec85963bbc5b546e,15-Year,['VIP Level 1'],SHIPPING SERVICES AT YOUR COMMAND !,True,2025-08-06T07:21:57.215673,1,"https://www.jctrans.com/en/membership/list/0-JC%20Elite,GCP?years=0&page=1",,,21020202000645,"['21020202000645', '2022004632']",https://www.conturk.com,['https://www.conturk.com'],"14-Dec-2025 
Chat Online
1-on-1 Inquiry
Service Scope
Company Profile
Attented History
Contact Us
Service Scope
Total Likes
5
Company Profile
Company Mission: Conturk goal is to serve the international ship agencies, freight forwarding companies, worldwide importers and exporters as their local office in Turkey","['14-Dec-2025 \nChat Online\n1-on-1 Inquiry\nService Scope\nCompany Profile\nAttented History\nContact Us\nService Scope\nTotal Likes\n5\nCompany Profile\nCompany Mission: Conturk goal is to serve the international ship agencies, freight forwarding companies, worldwide importers and exporters as their local office in Turkey', '100 Turkish investment and run by a chamber of administration. In Conturk every single unit from  level to the  general manager has a right to speak and contribute to the coordination of the company\n\nBasic Information\n\nLocation\n\nIstanbul, Turkiye\n\nAddress\n\nGeneral Asim Gunduz Cad', '73 1st Floor', '2005\n\nEnterprise Size\n\n11-50\n\nWebsite\n\nwww.conturk.com\n\nCertificates\n\nCompany Picture\n\nConturk ShippingTurkiye , , , ,\nMembership\nMembership introduction\nBenefits Overview\nJC Elite\nJC Premium\nJC Rising\nJC Project\nJC Dangerous Goods\nJC Railway\nJC eCommerce\nJC Vendor\nClub\nBecome a Member\nBusiness Opportunity\nCompany Directory\nInquiry\nFind Agent\nCooperation Risk Protection\nRisk Member List\nOnline Claim\nRisk Prevention\nAssurance Introduction\nEvent\nGlobal Conference\nExhibiton\nIndustry Event\nJC Pay\nSettlement between members without any fees\nCollect money from your Chinese partner cheap and fast\nTools\nSchedule Plan\nContainer Tracking\nAMS Filing\nISF Filing\nACI(EM) Filing\nAFR Filing\nFMC Application\nJC Selection\nFreightsite Finder\nAbout Us\nAbout Us\nContact Us\nResources\nSuccess Story\nHelp Center\nCustomer\nMy Dashboard\nOpinion/Suggestion\nSign In\nSign up\n\n© 2025 jctrans', '2-20240208\n\nPost Inquiry\n\nGo to cart']"
CANWAYS SHIPPING SA,Piraeus - Greece,Piraeus,Greece,"['FCL', 'LCL', 'Special Container', 'Air Freight', 'Warehousing']",https://www.jctrans.com/en/store/home/bf7c0b157fced6a6ace15ec9c6261bd5,14-Year,"['VIP Level 1', 'VIP Level 7']",Creating the maximum benefit for the clientele.,True,2025-08-06T07:21:57.349608,1,"https://www.jctrans.com/en/membership/list/0-JC%20Elite,GCP?years=0&page=1",,,21020202000645,"['21020202000645', '2022004632']",https://canways.com/,['https://canways.com/'],"200002
14-Year
Subscribe

Creating the maximum benefit for the clientele.

JC Elite
3-Mar-2031 
JC Projects
4-Aug-2027 
Chat Online
1-on-1 Inquiry
Service Scope
Company Profile
Attented History
Contact Us
Service Scope
Total Likes
9
····
Company Profile
CANWAYS SHIPPING SA is an International Shipping and Logistics Provider","['200002\n14-Year\nSubscribe\n\nCreating the maximum benefit for the clientele.\n\nJC Elite\n3-Mar-2031 \nJC Projects\n4-Aug-2027 \nChat Online\n1-on-1 Inquiry\nService Scope\nCompany Profile\nAttented History\nContact Us\nService Scope\nTotal Likes\n9\n····\nCompany Profile\nCANWAYS SHIPPING SA is an International Shipping and Logistics Provider', '131 PRAXITELOUS STREET\n\nEstablishment Time\n\n2003\n\nEnterprise Size\n\n51-100\n\nWebsite\n\nhttps://canways', '2-20240208\n\nPost Inquiry\n\nGo to cart']"
1UP CARGO,Los Angeles - United States,Los Angeles,United States,"['FCL', 'LCL', 'Air Freight', 'Customs Clearance', 'Truck']",https://www.jctrans.com/en/store/home/e2d13bd1a1c490f77f5b24ce945a2814,13-Year,['VIP Level 1'],,True,2025-08-06T07:21:57.431193,1,"https://www.jctrans.com/en/membership/list/0-JC%20Elite,GCP?years=0&page=1",,,21020202000645,"['21020202000645', '2022004632']",https://www.1upcargo.com,"['https://www.1upcargo.com', 'https://www.1upcargo.com']","1UP CARGO

Member ID 777788
13-Year
Subscribe

JC Elite
27-Feb-2034 
Orders:1 US $3","['1UP CARGO\n\nMember ID 777788\n13-Year\nSubscribe\n\nJC Elite\n27-Feb-2034 \nOrders:1 US $3', '00\nChat Online\n1-on-1 Inquiry\nService Scope\nCompany Profile\nAttented History\nContact Us\nBranches\nService Scope\nTotal Likes\n7\n····\nCompany Profile\nOur Story : 1UP Cargo is one of the Leading Supply Chain and Freight Forwarding Solution providers', '1UP Cargo is a one-stop transportation provider with a Network of more than 3500 Agents Worldwide and own offices in two Continents.  What sets us apart is our hands on, dedicated Supply Chain Professionals who can assist you around the clock. We pride ourselves on having the right mix of Youth and Experience within our teams to ensure Dedication to your Supply Chain whilst also being able to stay on the front foot within a changing industry and remaining agile enough to modify our business practices to make use of any competitive advantages we may be able to achieve.\n\nBasic Information\n\nLocation\n\nLos Angeles, United States\n\nAddress\n\n777 S Alameda St. Los Angeles, CA 90021\n\nEstablishment Time\n\n2018\n\nEnterprise Size\n\n11-50\n\nWebsite\n\nhttps://www', '1upcargo.com\n\nCertificates\n1UP CARGOUnited States , , , ,\nMembership\nMembership introduction\nBenefits Overview\nJC Elite\nJC Premium\nJC Rising\nJC Project\nJC Dangerous Goods\nJC Railway\nJC eCommerce\nJC Vendor\nClub\nBecome a Member\nBusiness Opportunity\nCompany Directory\nInquiry\nFind Agent\nCooperation Risk Protection\nRisk Member List\nOnline Claim\nRisk Prevention\nAssurance Introduction\nEvent\nGlobal Conference\nExhibiton\nIndustry Event\nJC Pay\nSettlement between members without any fees\nCollect money from your Chinese partner cheap and fast\nTools\nSchedule Plan\nContainer Tracking\nAMS Filing\nISF Filing\nACI(EM) Filing\nAFR Filing\nFMC Application\nJC Selection\nFreightsite Finder\nAbout Us\nAbout Us\nContact Us\nResources\nSuccess Story\nHelp Center\nCustomer\nMy Dashboard\nOpinion/Suggestion\nSign In\nSign up\n\n© 2025 jctrans', '2-20240208\n\nPost Inquiry\n\nGo to cart']"
"Asian Consolidation International Services, Inc.",Manila - Philippines,Manila,Philippines,"['FCL', 'Customs Clearance', 'Consolidator', 'Air Freight', 'Break Bulk']",https://www.jctrans.com/en/store/home/caeca581f8c1264e38173c2eb2d165d5,13-Year,"['VIP Level 1', 'VIP Level 7']","Building Relations, Delivering Value",True,2025-08-06T07:21:57.531536,1,"https://www.jctrans.com/en/membership/list/0-JC%20Elite,GCP?years=0&page=1",,,21020202000645,"['21020202000645', '2022004632']",https://www.acis.ph,['https://www.acis.ph'],"877778
13-Year
Subscribe

Building Relations, Delivering Value

JC Elite
2-Jan-2028 
JC Projects
12-May-2026 
Chat Online
1-on-1 Inquiry
Service Scope
Company Profile
Attented History
Contact Us
Service Scope
Total Likes
7
····
Company Profile
Asian Consolidation International Services (ACIS) is a leading freight forwarding and Non-Vessel Operating Common Carrier (NVOCC) company based in the Philippines","['877778\n13-Year\nSubscribe\n\nBuilding Relations, Delivering Value\n\nJC Elite\n2-Jan-2028 \nJC Projects\n12-May-2026 \nChat Online\n1-on-1 Inquiry\nService Scope\nCompany Profile\nAttented History\nContact Us\nService Scope\nTotal Likes\n7\n····\nCompany Profile\nAsian Consolidation International Services (ACIS) is a leading freight forwarding and Non-Vessel Operating Common Carrier (NVOCC) company based in the Philippines', '1997, we have built a strong reputation for delivering dependable, cost-efficient, and agile logistics solutions across global markets.\n\nWith over 20 years of experience, ACIS is a trusted logistics partner to businesses worldwide, providing tailored freight forwarding services that meet the evolving demands of international trade. Our focus is to consistently exceed customer expectations through service excellence, competitive pricing, and personalized support.\n\nBasic Information\n\nLocation\n\nManila, Philippines\n\nAddress\n\n11th Floor Victoria Bldg., 429 U.N Ave., Ermita, Manila, Philippines\n\nEstablishment Time\n\n1997\n\nEnterprise Size\n\n51-100\n\nWebsite\n\nwww.acis.ph\n\nCertificates\n\nCompany Picture\n\nAsian Consolidation International Services, Inc.Philippines , , , , ,\nMembership\nMembership introduction\nBenefits Overview\nJC Elite\nJC Premium\nJC Rising\nJC Project\nJC Dangerous Goods\nJC Railway\nJC eCommerce\nJC Vendor\nClub\nBecome a Member\nBusiness Opportunity\nCompany Directory\nInquiry\nFind Agent\nCooperation Risk Protection\nRisk Member List\nOnline Claim\nRisk Prevention\nAssurance Introduction\nEvent\nGlobal Conference\nExhibiton\nIndustry Event\nJC Pay\nSettlement between members without any fees\nCollect money from your Chinese partner cheap and fast\nTools\nSchedule Plan\nContainer Tracking\nAMS Filing\nISF Filing\nACI(EM) Filing\nAFR Filing\nFMC Application\nJC Selection\nFreightsite Finder\nAbout Us\nAbout Us\nContact Us\nResources\nSuccess Story\nHelp Center\nCustomer\nMy Dashboard\nOpinion/Suggestion\nSign In\nSign up\n\n© 2025 jctrans', '2-20240208\n\nPost Inquiry\n\nGo to cart']"
"FRIENDLY GROUPS LOGISTICS CO.,LTD.",Pathum Thani - Thailand,Pathum Thani,Thailand,"['LCL', 'Air Freight', 'Customs Clearance', 'Warehousing', 'FCL']",https://www.jctrans.com/en/store/home/6f479962bc86449f7a2cdd73f2f96d0d,13-Year,"['VIP Level 1', 'VIP Level 7', 'VIP Level 2']",,True,2025-08-06T07:21:57.633582,1,"https://www.jctrans.com/en/membership/list/0-JC%20Elite,GCP?years=0&page=1",,,21020202000645,"['21020202000645', '2022004632']",https://www.friendlygl.com,['https://www.friendlygl.com'],"110072
13-Year
Subscribe

JC Elite
5-Feb-2026 
JC Projects
5-Feb-2026 
JC Dangerous Goods
6-Jun-2026 
Chat Online
1-on-1 Inquiry
Company Profile
Attented History
Contact Us
Service Scope
Total Likes
5
····
Company Profile
Founded in 1993, FG Logistics has transformed itself from a bonded warehouse operator to a global, integrated logistics operator over the last decade","['110072\n13-Year\nSubscribe\n\nJC Elite\n5-Feb-2026 \nJC Projects\n5-Feb-2026 \nJC Dangerous Goods\n6-Jun-2026 \nChat Online\n1-on-1 Inquiry\nCompany Profile\nAttented History\nContact Us\nService Scope\nTotal Likes\n5\n····\nCompany Profile\nFounded in 1993, FG Logistics has transformed itself from a bonded warehouse operator to a global, integrated logistics operator over the last decade', '2004, FG has embarked on an aggressive strategy to expand its services beyond bonded warehousing. Today, FG has invested heavily in ensuring that it has a good foundation in IT and human resources. It is has engaged more professionals to join its team, most significant is the appointment of its CEO who brings with him an international perspective to logistics management.\n\nMaintaining its Thai identity, FG Logistics aims to provide the best in class logistics services and solutions for companies doing business in Thailand. We also seek to support Thai companies with businesses overseas with our global logistics consultation and support.\n\nFG Logistics is an ISO9001 certified company.\n\nBasic Information\n\nLocation\n\nPathum Thani, Thailand\n\nAddress\n\n39 moo 16 Soi Hongsakul Klongnueng Klongluang\n\nEstablishment Time\n\n1991\n\nEnterprise Size\n\n101-500\n\nWebsite\n\nwww.friendlygl.com\n\nCertificates\nFRIENDLY GROUPS LOGISTICS CO.,LTD.Thailand , , , , , , ,\nMembership\nMembership introduction\nBenefits Overview\nJC Elite\nJC Premium\nJC Rising\nJC Project\nJC Dangerous Goods\nJC Railway\nJC eCommerce\nJC Vendor\nClub\nBecome a Member\nBusiness Opportunity\nCompany Directory\nInquiry\nFind Agent\nCooperation Risk Protection\nRisk Member List\nOnline Claim\nRisk Prevention\nAssurance Introduction\nEvent\nGlobal Conference\nExhibiton\nIndustry Event\nJC Pay\nSettlement between members without any fees\nCollect money from your Chinese partner cheap and fast\nTools\nSchedule Plan\nContainer Tracking\nAMS Filing\nISF Filing\nACI(EM) Filing\nAFR Filing\nFMC Application\nJC Selection\nFreightsite Finder\nAbout Us\nAbout Us\nContact Us\nResources\nSuccess Story\nHelp Center\nCustomer\nMy Dashboard\nOpinion/Suggestion\nSign In\nSign up\n\n© 2025 jctrans', '2-20240208\n\nPost Inquiry\n\nGo to cart']"
NAC Nordic Air & Sea Cargo,Jonkoping - Sweden,Jonkoping,Sweden,"['FCL', 'LCL', 'Air Freight', 'Express', 'Customs Clearance']",https://www.jctrans.com/en/store/home/e3ef84c1d5075d7e63822c2ef0ff3931,13-Year,['VIP Level 1'],"Established in 1951, with more than 150 staffs.",True,2025-08-06T07:21:57.730772,1,"https://www.jctrans.com/en/membership/list/0-JC%20Elite,GCP?years=0&page=1",,,21020202000645,"['21020202000645', '2022004632']",http://www.nacairsea.com,"['http://www.nacairsea.com', 'https://www.nacairsea.com']","003887
13-Year
Subscribe

Established in 1951, with more than 150 staffs.

JC Elite
26-Dec-2026 
Chat Online
1-on-1 Inquiry
Service Scope
Company Profile
Attented History
Contact Us
Service Scope
Total Likes
4
Company Profile
Welcome to NAC – Your Nordic partner - In the Nordic countries, we offer logistics platform that improves your competitive edge! NAC Nordic Air & Sea Cargo improves the logistics solutions of its customers by offering quality air- and sea freight services","['003887\n13-Year\nSubscribe\n\nEstablished in 1951, with more than 150 staffs.\n\nJC Elite\n26-Dec-2026 \nChat Online\n1-on-1 Inquiry\nService Scope\nCompany Profile\nAttented History\nContact Us\nService Scope\nTotal Likes\n4\nCompany Profile\nWelcome to NAC – Your Nordic partner - In the Nordic countries, we offer logistics platform that improves your competitive edge! NAC Nordic Air & Sea Cargo improves the logistics solutions of its customers by offering quality air- and sea freight services', '1919. NAC Nordic Air & Sea Cargo takes pride in servicing many independent agents around the world', '16 offices strategically located in Sweden, Denmark, Finland, and Norway.\nNAC Nordic Air & Sea Cargo serves the world with direct services, express shipments, and consolidation by air freight', '18, P.O. Box 3022, SE-550 03,Jonkoping, Sweden\n\nEstablishment Time\n\n1951\n\nEnterprise Size\n\n101-500\n\nWebsite\n\nhttp://www', '2-20240208\n\nPost Inquiry\n\nGo to cart', 'P.O. Box 3022']"
BTS Logistics B.V.,Amsterdam - Netherlands,Amsterdam,Netherlands,"['FCL', 'LCL', 'Air Freight', 'Warehousing', 'Truck']",https://www.jctrans.com/en/store/home/d3a7a4106837d6d6074e9f90c39ced59,12-Year,['VIP Level 1'],,True,2025-08-06T07:21:57.844237,1,"https://www.jctrans.com/en/membership/list/0-JC%20Elite,GCP?years=0&page=1",,,21020202000645,"['21020202000645', '2022004632']",https://www.btslogistics.com,['https://www.btslogistics.com'],"104334
12-Year
Subscribe

JC Elite
6-Jan-2030 
Chat Online
1-on-1 Inquiry
Company Profile
Attented History
Contact Us
Branches
Service Scope
Total Likes
1
Company Profile
About Ocean Freight We provide reliable, cost-effective ocean freight services to & from all major ports in the world","['104334\n12-Year\nSubscribe\n\nJC Elite\n6-Jan-2030 \nChat Online\n1-on-1 Inquiry\nCompany Profile\nAttented History\nContact Us\nBranches\nService Scope\nTotal Likes\n1\nCompany Profile\nAbout Ocean Freight We provide reliable, cost-effective ocean freight services to & from all major ports in the world', '7 visibility of your shipments from point of origin till final destination', '40 1118 LM Schiphol Zuid-Oost Amsterdam The Netherlands\n\nEstablishment Time\n\n1984\n\nEnterprise Size\n\n51-100\n\nWebsite\n\nwww.btslogistics.com\n\nCertificates\nBTS Logistics B.V.Netherlands , , , ,\nMembership\nMembership introduction\nBenefits Overview\nJC Elite\nJC Premium\nJC Rising\nJC Project\nJC Dangerous Goods\nJC Railway\nJC eCommerce\nJC Vendor\nClub\nBecome a Member\nBusiness Opportunity\nCompany Directory\nInquiry\nFind Agent\nCooperation Risk Protection\nRisk Member List\nOnline Claim\nRisk Prevention\nAssurance Introduction\nEvent\nGlobal Conference\nExhibiton\nIndustry Event\nJC Pay\nSettlement between members without any fees\nCollect money from your Chinese partner cheap and fast\nTools\nSchedule Plan\nContainer Tracking\nAMS Filing\nISF Filing\nACI(EM) Filing\nAFR Filing\nFMC Application\nJC Selection\nFreightsite Finder\nAbout Us\nAbout Us\nContact Us\nResources\nSuccess Story\nHelp Center\nCustomer\nMy Dashboard\nOpinion/Suggestion\nSign In\nSign up\n\n© 2025 jctrans', '2-20240208\n\nPost Inquiry\n\nGo to cart']"
